id,timestep,tol_coeffs,omega,zeta,forcing_freq,F0,friction_force_ratio,noisy_measure_flag,noise_level,noisy_input_flag,omega_noise,zeta_noise,poly_order,phases,sgn_flag,equation,rmse
50,0.01,0.1,0.966075263,0.01,1.2,1,0.5,TRUE,0.1,TRUE,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],FALSE,0.414 cos(1.2 t) -0.294 x -0.267 x^2y,[0.19212906 0.2239479 ]
51,0.01,0.1,0.9531740077097255,0.16591684435274767,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.386 cos(1.2 t) -0.338 x +0.260 y -0.330 x^2y,[0.07574771 0.09152598]
52,0.01,0.1,1.051208116330344,0.18882718867435289,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.399 cos(1.2 t) -0.343 x +0.335 y +0.179 x^3 -0.331 x^2y,[0.12627388 0.14701996]
53,0.01,0.1,0.909107607083507,0.2581175009107095,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.359 cos(1.2 t) -0.375 x +0.403 y -0.256 x^2y -0.104 xy^2,[0.06590199 0.08020039]
54,0.01,0.1,0.9511850481894775,0.01,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.288 cos(1.2 t) -0.322 x -0.284 x^2y -0.124 xy^2,[0.09072976 0.10711289]
56,0.01,0.1,0.9192492711853644,0.12591684435274766,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.375 cos(1.2 t) -0.382 x +0.231 y -0.288 x^2y,[0.13603637 0.15844786]
57,0.01,0.1,0.9704573875157083,0.2647440330271006,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.431 cos(1.2 t) -0.317 x +0.305 y +0.371 x^3 -1.333 x^2y,[0.04092058 0.05252414]
58,0.01,0.1,0.8795649945992153,0.4728615339378101,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.277 cos(1.2 t) -0.410 x +0.334 y +0.491 x^3 -2.369 x^2y -1.931 xy^2 +0.811 y^3,[0.04136577 0.04954934]
55,0.01,0.1,1.074286603679982,0.15534229205164568,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.439 cos(1.2 t) +0.209 y -0.231 x^2y,[0.15398691 0.18693765]
59,0.01,0.1,0.9511850481894775,0.01,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.288 cos(1.2 t) -0.322 x -0.284 x^2y -0.124 xy^2,[0.09072976 0.10711289]
60,0.01,0.05,0.9660752634756389,0.01,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.464 cos(1.2 t) -0.420 x -0.172 y +0.119 x^3 -0.187 x^2y,[0.10276002 0.1277172 ]
61,0.01,0.05,0.9192492711853644,0.12591684435274766,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.361 cos(1.2 t) -0.351 x +0.239 y -0.284 x^2y -0.056 xy^2,[0.13116177 0.15229137]
62,0.01,0.05,0.9704573875157083,0.2647440330271006,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.403 cos(1.2 t) -0.340 x +0.284 y +0.380 x^3 -1.351 x^2y -0.113 xy^2 +0.090 y^3,[0.04694917 0.05610161]
63,0.01,0.05,0.8795649945992153,0.4728615339378101,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.277 cos(1.2 t) -0.410 x +0.334 y +0.491 x^3 -2.369 x^2y -1.931 xy^2 +0.811 y^3,[0.04136577 0.04954934]
64,0.01,0.05,0.9538515982791973,0.5782038259894557,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.138 cos(1.2 t) -0.412 x +0.670 y +0.150 x^2 +0.307 xy +2.027 x^3 -2.626 x^2y -3.685 xy^2 +1.428 y^3,[0.05054911 0.06414961]
65,0.01,0.05,0.9050366464686748,0.18615707826694194,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.079 cos(1.2 t) -0.601 x +0.216 x^2 +2.444 x^3 -2.898 x^2y -3.628 xy^2 +1.782 y^3,[0.06246207 0.07985626]
66,0.01,0.05,0.9391845243127412,0.01,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.431 cos(1.2 t) -0.258 x -0.730 y +0.460 x^3 -0.853 x^2y -0.891 xy^2 +0.754 y^3,[0.04372107 0.05301151]
67,0.01,0.05,0.8865609135647862,0.01,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.474 cos(1.2 t) +0.218 1 -0.516 x -0.178 x^2 -0.083 y^2 +0.131 x^3 -0.370 x^2y,[0.14122289 0.15944934]
68,0.01,0.05,0.9110153883831171,0.01,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.391 cos(1.2 t) -0.293 y -0.055 xy -0.253 x^3 -0.184 x^2y -0.302 xy^2 +0.141 y^3,[0.2283349  0.27200193]
69,0.01,0.05,0.8310138444214682,0.01,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.425 cos(1.2 t) -0.389 x -0.456 x^2y -0.103 xy^2,[0.10892266 0.13088139]
70,0.01,0.05,0.9660752634756389,0.01,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.464 cos(1.2 t) -0.420 x -0.172 y +0.119 x^3 -0.187 x^2y,[0.10276002 0.1277172 ]
71,0.01,0.05,0.9531740077097255,0.16591684435274767,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.476 cos(1.2 t) -0.173 x -0.063 x^3 -0.202 x^2y -0.098 xy^2 +0.088 y^3,[0.04661686 0.06056649]
72,0.01,0.05,1.051208116330344,0.18882718867435289,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.510 cos(1.2 t) -0.073 cos(1.3 t) -0.056 cos(1.4 t) -0.417 x +0.256 y +0.241 x^3 -0.351 x^2y +0.105 xy^2,[0.09414174 0.10293215]
73,0.01,0.05,0.909107607083507,0.2581175009107095,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.421 cos(1.2 t) -0.342 x +0.218 y -0.172 x^2y -0.116 xy^2 +0.063 y^3,[0.06067093 0.07530746]
74,0.01,0.05,1.074286603679982,0.15534229205164568,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.489 cos(1.2 t) -0.159 x +0.094 x^3 -0.129 x^2y +0.075 y^3,[0.09029202 0.10814194]
75,0.01,0.05,0.9511850481894775,0.01,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.338 cos(1.2 t) -0.300 x -0.185 y -0.191 x^2y -0.130 xy^2 +0.063 y^3,[0.10304038 0.12257226]
76,0.01,0.05,1.0341478778440665,0.01,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.538 cos(1.2 t) -0.065 x -0.562 y +0.059 x^2y -0.125 xy^2 +0.160 y^3,[0.24864454 0.29720086]
77,0.01,0.05,0.9473763892520449,0.01,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.523 cos(1.2 t) +0.201 1 -0.473 x -0.102 y -0.167 x^2 -0.076 y^2 +0.164 x^3 -0.369 x^2y,[0.09056899 0.10255719]
78,0.01,0.05,1.0244544748183309,0.015431468406389072,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.404 cos(1.2 t) -0.055 x -0.319 y -0.065 x^3 -0.085 x^2y -0.134 xy^2 +0.107 y^3,[0.14129017 0.1711322 ]
79,0.01,0.05,0.9199984560383511,0.01,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.479 cos(1.2 t) -0.314 x -0.251 y -0.193 x^2y -0.079 xy^2 +0.060 y^3,[0.04543717 0.05919074]
80,0.01,0.05,1.0427604323337334,0.05160651463086452,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.208 cos(1.2 t) -0.108 x +0.156 y -0.050 x^3 -0.319 x^2y -0.126 xy^2,[0.09031839 0.10556317]
81,0.01,0.05,1.0211726049277519,0.03589149728561652,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.266 cos(1.2 t) +0.103 y -0.136 x^3 -0.346 x^2y -0.165 xy^2,[0.05649514 0.07390199]
82,0.01,0.05,0.9889659237828761,0.05461115485910391,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.516 cos(1.2 t) -0.350 x -0.182 y +0.116 x^3 -0.240 x^2y +0.067 y^3,[0.0801873  0.09677117]
83,0.01,0.05,0.9573303059546118,0.069786988911143,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.288 cos(1.2 t) -0.309 x +0.134 y -0.328 x^2y -0.110 xy^2,[0.0816001  0.09650703]
84,0.01,0.05,1.0259190572188093,0.05962369358922718,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.334 cos(1.2 t) -0.177 x -0.208 x^2y -0.074 xy^2,[0.11119114 0.13626367]
85,0.01,0.05,1.0589441865158267,0.050367919018017994,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.455 cos(1.2 t) -0.304 x^2y -0.075 xy^2,[0.12710022 0.15346324]
86,0.01,0.05,0.9771627600816414,0.04323809174069143,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.058 cos(1.1 t) +0.082 cos(1.2 t) -0.251 x +0.194 y -0.093 x^3 -0.286 x^2y -0.166 xy^2,[0.12221688 0.15291233]
87,0.01,0.05,0.9908491141554928,0.061500629907371755,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.176 cos(1.2 t) -0.120 x +0.155 y -0.134 x^3 -0.237 x^2y -0.174 xy^2,[0.13635269 0.17541934]
88,0.01,0.05,0.9845215435421188,0.03811340428572383,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,1.073 cos(1.2 t) -0.080 cos(1.3 t) -0.093 cos(1.4 t) -0.066 cos(1.5 t) -0.225 x -0.911 y +0.180 x^3 +0.085 xy^2 +0.209 y^3,[0.10863253 0.128583  ]
89,0.01,0.05,1.0555354394655985,0.06068136830449515,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.503 cos(1.2 t) -0.293 y -0.097 x^2y -0.098 xy^2 +0.111 y^3,[0.13893768 0.16917006]
90,0.01,0.05,0.9660752634756389,0.04694500536946347,1.2,1.0,0.5,True,0.1,True,0.05,0.2,3,[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2. ],False,0.467 cos(1.2 t) -0.407 x -0.108 y +0.111 x^3 -0.179 x^2y,[0.10250848 0.12791521]
